"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric","GeneSymbol"
"KCNK1",585.925497200592,1.04936258048154,0.206670805358269,5.07745919247011,3.82515627389246e-07,5.00161951598783e-05,4.30088934906932,"KCNK1"
"CNIH3",180.215571289045,1.04629172942133,0.262926182358639,3.97941247248689,6.90857888712959e-05,0.00475739035779234,2.32263121198566,"CNIH3"
"P2RY6",241.734120310401,1.04482898520711,0.283790215012012,3.681694892697,0.000231688579711621,0.0129175203820436,1.8888208445257,"P2RY6"
"IQGAP2",470.953984533297,1.03504641006808,0.295918959211495,3.49773604511877,0.000469225279849507,0.023110923144516,1.63618270668177,"IQGAP2"
"B4GALT6",1885.49651368149,1.03216573215589,0.262578756678733,3.93088056783951,8.46353097039849e-05,0.0055332852627007,2.25701693961356,"B4GALT6"
"CXCL12",532.910582938117,1.03207890849906,0.222677981974307,4.6348493881094,3.5719745268776e-06,0.000363266501999631,3.43977464801522,"CXCL12"
"PYGL",573.903292637036,1.02739163522991,0.223303354641816,4.60087864276767,4.20712499897721e-06,0.000417768480902588,3.37906432904323,"PYGL"
"SLC27A6",782.899642077773,1.01916012076393,0.184931432105137,5.51101621375277,3.5676785344045e-08,5.8052736566862e-06,5.2361773030938,"SLC27A6"
"OSGIN1",371.083592922683,1.01520172482662,0.242844365107237,4.18046234829588,2.90916980549183e-05,0.00234086934495381,2.63062282566651,"OSGIN1"
"RBM24",204.691924195908,1.01050117308016,0.243552775972991,4.14900289698287,3.33926585712841e-05,0.00259200187574346,2.58636468851721,"RBM24"
"PLEKHB1",234.851398427983,1.00819614394458,0.241080197128265,4.18199485463411,2.88962510957319e-05,0.00233890008607335,2.63098833013348,"PLEKHB1"
"SPTSSB",150.373633658422,1.00702170204181,0.299350726460431,3.36401956978355,0.000768160961209392,0.034649264548022,1.46030597912217,"SPTSSB"
"FAM89A",796.609806952974,1.00414756737818,0.190566059668013,5.26928860851465,1.3695348864939e-07,2.01909884910144e-05,4.69484241876393,"FAM89A"
"ISOC1",9853.41095058888,1.0037676543274,0.214459479783114,4.6804536471996,2.86240825848072e-06,0.000296596802896443,3.52783353466946,"ISOC1"
"HTRA1",965.921977806396,0.999525821772622,0.193253002653809,5.17211017705717,2.3146502911072e-07,3.23859381813706e-05,4.48964351744317,"HTRA1"
"EMILIN2",161.341123614538,0.998891272492252,0.253799308439166,3.93575253863105,8.29363991086337e-05,0.00543839963946076,2.26452888155261,"EMILIN2"
"AKAP12",3073.07005216781,0.994777419983619,0.281173463083284,3.53794916872708,0.000403247679792851,0.0204576022679205,1.68914526910054,"AKAP12"
"C17orf58",595.048148915975,0.980793681161274,0.250822110320233,3.91031588048224,9.2175499274133e-05,0.00597291797213829,2.22381344950746,"C17orf58"
"LARGE2",73.0374284942162,0.979564696720105,0.30033301785307,3.2615950910843,0.00110787267547591,0.0460049887753862,1.33719507092398,"LARGE2"
"ANKRD34A",257.020572959051,0.969071308472976,0.250113948521629,3.87451925092924,0.000106835398051419,0.00676326567433867,2.16984355230066,"ANKRD34A"
"LAYN",659.732486520718,0.968428887449256,0.191355205545611,5.06089648665672,4.17289732926767e-07,5.35283373650694e-05,4.27141624595693,"LAYN"
"NCAN",467.013007699594,0.967786641164569,0.288966658312895,3.34912908919977,0.000810660162366499,0.0359051712546569,1.44484299750456,"NCAN"
"EFNA3",334.296405097182,0.967703724934436,0.283754091041411,3.41036043351075,0.00064877079240744,0.0299402268840635,1.52374491294008,"EFNA3"
"CD274",283.813516977638,0.966475705232532,0.275231749916477,3.51149787597479,0.000445589023605899,0.0221955874865097,1.65373335531207,"CD274"
"BAG3",564.840747462094,0.965623860441357,0.202285302533046,4.77357399845503,1.80985006168326e-06,0.000199783800527619,3.69943972945682,"BAG3"
"SVOP",204.399817615226,0.96532011557936,0.296492556809894,3.25579881655615,0.00113073841870694,0.046777647539991,1.32996162275966,"SVOP"
"HIF3A",280.742216125265,0.949765990591876,0.263671601500524,3.60207919695133,0.000315682152206468,0.0169965943779949,1.76963808985778,"HIF3A"
"BRINP1",343.411698453419,0.948898704338449,0.204714049481488,4.63523977343947,3.56523978690546e-06,0.000363266501999631,3.43977464801522,"BRINP1"
"ITM2A",1686.69782229842,0.94579846426504,0.168960474904699,5.5977497979839,2.1715183656424e-08,3.78585269349735e-06,5.42183628832411,"ITM2A"
"ADGRE5",529.251661199486,0.945182920572412,0.185126962396401,5.10559298514578,3.2975878422406e-07,4.41695805673776e-05,4.35487672476557,"ADGRE5"
"CPLX1",747.706656090093,0.942858789097452,0.211330840736543,4.46152954207414,8.13767251179076e-06,0.000760681923687267,3.11879690389241,"CPLX1"
"TGM2",2490.36523050195,0.94072617570518,0.199701186817367,4.71066892840004,2.46905046549518e-06,0.000260090266453267,3.58487590041748,"TGM2"
"GLRX",491.577524181931,0.937857329793246,0.249924817672228,3.75255782330201,0.00017503944051873,0.0103362671770832,1.98563627333958,"GLRX"
"BRSK2",435.090882569516,0.936948970898132,0.24419084815475,3.83695366955098,0.000124569961935826,0.00767603605305364,2.11486299412345,"BRSK2"
"ANPEP",471.328644636932,0.92612342962561,0.189072368495764,4.89824841669744,9.66947405654677e-07,0.000116070675737794,3.93527748718535,"ANPEP"
"C1R",640.765330749361,0.924327502003218,0.265735741420089,3.47837102026104,0.000504471146659555,0.0245170745103328,1.61053135306956,"C1R"
"OLFML3",1651.85154745884,0.923078091077223,0.170104620956912,5.42653154208576,5.74596748930975e-08,9.2132604261071e-06,5.03558665270325,"OLFML3"
"SNAI2",208.886630269431,0.921067620548223,0.258910608172941,3.55747347336571,0.000374438899384087,0.0194415115286972,1.71126997279178,"SNAI2"
"HSPB8",145.32113846756,0.915468086014575,0.246247985952201,3.71766730385472,0.000201070825518333,0.0114403591400724,1.94156034179269,"HSPB8"
"LHFPL2",2474.65987262761,0.910736497928622,0.25458151259688,3.57738662418406,0.000347046668032244,0.0182819524140631,1.73797742581359,"LHFPL2"
"TTC9",718.6536789763,0.909207501912597,0.204452238005099,4.44704108296393,8.70611922350597e-06,0.000810370004164219,3.0913166427552,"TTC9"
"LRRC17",573.151033845844,0.90892928374608,0.229149194044989,3.96653930001442,7.29237558967533e-05,0.00494418563513574,2.30590523152733,"LRRC17"
"MYO1D",2229.43779534301,0.90618678143371,0.197600064468591,4.58596399687791,4.51896475581019e-06,0.00044316115531644,3.3534383140988,"MYO1D"
"HBEGF",295.863086023003,0.906163574841744,0.228745297280462,3.96145225985,7.44952780601245e-05,0.00502198707858404,2.2991244090478,"HBEGF"
"SEZ6",453.398325404629,0.904997270137508,0.272874695597348,3.31653057150054,0.000911426151348773,0.0395050685340758,1.40334718044533,"SEZ6"
"TPBG",3247.03660121051,0.891769036718532,0.152282864016021,5.85600384180267,4.74137254224732e-09,9.8258236448629e-07,6.00763103490405,"TPBG"
"TIMP3",1033.07591061855,0.878385577210168,0.193975301828748,4.52833721060868,5.94496553920018e-06,0.00057277657017373,3.24201475545644,"TIMP3"
"MB21D2",897.650625969303,0.876790009570031,0.191159869466883,4.58668449615116,4.50340444148558e-06,0.00044316115531644,3.3534383140988,"MB21D2"
