"","Control1_Count","Control2_Count","Control3_Count","FIH22KO1_Count","FIH22KO2_Count","FIH22KO3_Count","FIH23KO1_Count","FIH23KO2_Count","FIH23KO3_Count"
"TSPAN11",10.9491096414568,11.2115078825207,11.2760169630014,11.0067378059339,11.1962290170224,11.1209084286733,11.4391266089228,11.2677467512157,10.9875622304898
"TSPAN11-AS1",4.1245443523384,4.30100494981074,4.46174523812192,4.10571533958046,4.15913509317713,4.1203302636079,4.41092066782027,4.27218680971964,4.13864767392372
"TSPAN12",8.87174546070201,8.8921878072045,8.87864444238451,8.73995942571691,8.92402582118529,8.62983736363732,8.5272624280995,8.50998094038229,8.76549175926762
"TSPAN13",11.0544670609401,11.0541620278928,10.9873899605784,11.0371209469938,10.9592837666233,10.9705000488482,10.2963063279722,10.8932881148576,11.1594457920543
"TSPAN14",11.6304806674196,11.8684087925008,11.9359361645183,11.7628502259406,11.8929054597231,11.8640468382156,12.050014082352,11.99193180532,11.6981834675122
"TSPAN15",9.51793672678703,9.40503782161318,9.40821820744988,9.45446839969015,9.24654744507872,9.35912109408791,9.70638153717045,9.5117774158087,9.61383659422571
"TSPAN17",11.8917147369484,11.66868260987,11.7879099369553,11.8808824866737,11.7336857881783,11.9185691239148,12.0382358815508,11.900970016319,11.9744847723837
"TSPAN18",10.934798078165,11.234987058932,11.2481705707134,10.6137298739041,10.8422478668739,10.8115287976869,11.3999325379832,11.240306250893,10.834926760878
"TSPAN19",5.82673231732553,5.62264461724894,5.72563722132192,5.85142816904981,5.87851846349013,6.05815475469938,5.6385611421285,5.65695631794557,6.09486152492742
"TSPAN2",7.00259859234882,6.96343919170322,6.86315427691109,7.35281864101376,7.25101507038571,7.08181758184148,6.66537634341001,6.7505529903291,6.82585389863665
"TSPAN3",13.594185203949,13.4088039901695,13.4314976424006,13.4827960211335,13.3506313669567,13.4712418527086,13.3860667211071,13.4099512001217,13.54004694462
"TSPAN31",10.0638483843765,9.95031362877999,9.94595067770966,10.181182872908,10.0510932593751,10.0829676808877,10.1164458283993,10.1860589589648,10.2066244741812
"TSPAN32",4.57942140397634,4.68839201150992,4.6965523198857,4.69256306066326,4.72772293836012,4.67399310766014,4.96692566865997,4.85405495301127,4.67151194048102
"TSPAN33",10.2927854905387,10.0005917453209,10.0796828577101,10.2748137306756,9.93241091154954,10.1616600712367,10.3650519155745,10.2058223750233,10.4232983071654
"TSPAN4",10.6997733204573,10.4089078477839,10.4089508386209,10.7552756913541,10.4015065915938,10.7468346077191,10.5702196697762,10.3724479390403,10.6546696454871
"TSPAN5",9.44002835869951,9.63254860132778,9.68654565684212,9.64604490281374,9.84702267774569,9.67833084076429,9.84146258845716,9.97383347440015,9.84769328303087
"TSPAN6",10.8993858035508,10.5813207821963,10.6877600055944,10.8046904511301,10.6592885697709,10.7566526942063,10.3870536346656,10.4737115920298,10.5842632984153
"TSPAN7",7.84468374230219,7.87922847979105,7.81810116914353,8.22477765972127,7.92004318562099,8.2241244211511,8.45464106598315,8.4902252374041,8.41472490911136
"TSPAN8",9.32452261275143,9.04177778591812,8.96827276021029,10.2104369786959,10.0089545606226,10.1630020889371,8.92094598102149,9.03662665751724,9.29988513675078
"TSPAN9",11.469649715787,11.4387493723671,11.3952752097851,11.3645793521718,11.3353010625649,11.3540991315377,11.4237831363783,11.2724882963438,11.2281258408421
"TSPEAR",5.93898554859772,5.77440345161364,5.74491710406402,5.89137369898136,5.83620047632847,5.70757412052616,6.40339799708645,6.00859843353776,5.7569128880941
"TSPEAR-AS1",8.4264227619722,8.62712505116692,8.71003209994061,8.4104254646773,8.41830144889964,8.41422271584569,8.83274627758265,8.67315238395373,8.44454501356344
"TSPEAR-AS2",7.34738775954782,7.32464723604787,7.5355854554941,7.40990009742472,7.22077028081507,7.3600778282549,7.62306890921033,7.46980889676481,7.33380613237886
"TSPO",11.4404713059193,10.8562228971091,10.9061816117574,11.2785983954684,10.8844083741432,11.3095315074965,10.9579059991173,10.765764050773,11.2176410238986
"TSPOAP1",8.45785247757914,8.51898929205255,8.734058407763,8.61522894746278,8.68772235381925,8.53765933976416,8.86499389714523,8.61970428409514,8.45502635073087
"TSPY26P",7.13037046789284,7.53530838874653,7.50850085769251,6.94709622484186,7.34754072330633,6.73937246429399,7.73082330949567,7.65907857343683,7.09835265804983
"TSPYL1",11.6637387883713,11.7831510150395,11.7706814247659,11.5145783546482,11.6806704047732,11.5661746873095,11.7519335565705,11.7443337840541,11.7121331069681
"TSPYL2",10.3725425729509,10.2197914492446,10.3958948035021,10.2321180872275,10.0241797097547,10.0995684705601,10.4292299643281,10.2690899913601,10.267042679921
"TSPYL4",10.8686955251445,11.2254174830023,11.2635616838397,10.7348214216434,11.1835692028851,10.8577670489294,11.3046007837826,11.2970678339811,10.8928231061033
"TSPYL5",11.8798304501032,12.3194674597635,12.2297915817032,11.9455330656017,12.2918539334008,12.0513335645835,11.6399532520108,11.5878503784371,11.3558657222317
"TSR1",11.4029631344397,11.6837483039869,11.6673392837881,11.4809969613259,11.6341498435465,11.5468081638768,11.7975304174365,11.7448569458471,11.486448807055
"TSR2",10.8143586762769,10.6078835176339,10.5537463941541,10.8525823878159,10.5884233684298,10.7273051170013,10.7559331697843,10.7201960222704,10.7771604884535
"TSR3",11.5960135643981,11.0657220191684,11.1417197964315,11.4179778273096,10.9292076878566,11.3869520539466,11.1795431093796,10.9591071251406,11.3235285857214
"TSSC2",9.02646044740007,9.0438969114497,9.14989875913403,8.29442602373272,8.20891990608081,8.23349826407248,9.29921476430947,9.17568170695106,9.02152855967927
"TSSC4",11.5851364311266,11.0873436950836,11.1289143673858,11.4299886700704,11.0234798517456,11.3825433029061,11.2340805590437,11.0294167115632,11.3815274150234
"TSSK3",7.58666091340682,7.7291655440362,7.88044447888548,7.4954050661767,7.62156288648649,7.51388083005289,7.47367036293718,7.4337309041789,7.24848126073768
"TSSK6",7.24284689655296,7.26593524923198,7.31095125611688,7.32393867172281,7.18202226761306,7.31993995845865,7.41111549436737,7.24534848449893,7.22768749520058
"TST",9.99588322406703,9.62586646266893,9.62523899312169,9.89864375187089,9.46133648101229,9.77654177927334,9.64687092897755,9.43341671373821,9.80694753258383
"TSTD1",9.03883958566644,8.45650037590148,8.48354517634021,9.13938631067639,8.52321170327533,8.88486855687969,8.74777333925486,8.71996060445481,9.04921756460352
"TSTD2",9.12957567811252,9.80367483049984,9.80948010400841,9.19930097526843,9.77796877375208,9.3022893342458,9.91842536017846,9.83177611800216,9.35504675227963
"TSTD3",7.90004577051803,7.84034709659913,7.87747191560262,7.92874756790533,7.87357121985566,7.62327541963008,7.53825275087839,7.73816305460503,7.75048552829997
"TTBK1",9.4371788123851,9.79607430494882,9.83983354287953,9.51599116918523,9.86668411665663,9.52948930987117,10.7295578760897,10.4573238903359,10.0713345166724
"TTBK2",9.78086051323105,10.2170284853431,10.0743305344271,9.71048352624785,10.3954064086506,9.8901680564349,10.3633749097102,10.5082142937176,9.75035062879111
"TTC1",11.0160206746683,10.5975214229931,10.5595051882053,11.080616551542,10.709032853442,10.8937788273167,10.3930210276489,10.6469494746505,11.0584440923188
"TTC12",9.32143114209883,9.05291834190004,9.04724070890877,9.17200351388405,9.01973119190022,9.17054140871119,9.12715139890598,9.12624177362228,9.26648175995504
"TTC12-DT",4.4625659098668,4.55649896368244,4.59579472013116,4.59160783155093,4.5507522609022,4.68996772069238,4.45822671795011,4.63943642762181,4.55109545813656
"TTC13",9.40519399989903,9.51427453544387,9.43165992109279,9.4411958567984,9.62039835856795,9.50155657664937,9.43135613812062,9.57073889744296,9.4729860886277
"TTC14",9.97431935681769,9.90961593138769,9.85977899746418,9.97667922028739,10.0829832171499,9.91941172752374,9.41324617000705,9.6958466017299,9.80689865149759
"TTC17",11.3089789797578,11.63549427054,11.6012133669827,11.3678391144518,11.6836408294082,11.3720163370144,11.6708321845843,11.7875514815755,11.4903307999289
"TTC19",10.9948639452838,10.9178766568943,10.8693090830482,10.9291806040398,10.8812257705341,10.8810306127753,10.7524276900946,10.8574060829886,10.9989237163377
"TTC21A",7.75275563708757,7.85505562652423,7.90900845745285,7.78976020316679,7.71499484466139,7.71583948740841,7.75355807398842,7.94876431725214,7.61306979514585
"TTC21B",9.8896344937511,10.1967651512571,10.1537095586559,9.87556802727268,10.1959455412895,9.97281201517827,9.93989873201772,10.1338971947403,9.85050889657767
"TTC23",6.4445165501698,6.3990196613679,6.56881621908874,6.19115621216846,6.4852151419593,6.19593059089444,6.69850345787112,6.68186560623287,6.48533557198734
"TTC23L",6.56039739249865,6.45641645974586,6.4523851287812,6.51156319053997,6.48129588811961,6.52336470448917,6.15743022186929,6.49989124415576,6.2792181014089
"TTC23L-AS1",4.2582984555312,4.31189864514671,4.54791877016048,4.4845788925857,4.37264133240675,4.30809751924977,4.47172429878966,4.51464378981082,4.54808069777515
"TTC27",9.84735433986015,9.73818403039279,9.65186146072873,9.73834286818326,9.83046688389995,9.75884958852609,9.69804959701026,9.78510585792966,9.84223219825762
"TTC28",10.8626880228285,11.4453215982656,11.3474365555274,11.0729050763197,11.5357463538934,11.0964503692076,11.5914971617849,11.5706686654398,10.9820592164157
"TTC28-AS1",8.4224952552066,8.16098676477108,8.24982749863346,8.13050406691413,8.28963818287622,8.23747626973041,8.07312803278627,8.01804238971992,8.41231279974838
"TTC3",12.5467088564322,12.8005070080151,12.7533225338108,12.5603291550624,12.8727150108119,12.5994992293973,12.7849971833078,13.0160347674605,12.5925543343214
"TTC31",10.4768145738667,10.6302357606137,10.7271837201675,10.4818530789341,10.5577202049514,10.4971580909264,10.8192351877743,10.716630298861,10.4951871096774
"TTC32",7.12490789546325,6.74657966936236,6.62685479993452,6.88555006917163,6.93293158426568,6.76021245333696,6.5710300771713,6.52756955939772,6.89095547188942
"TTC33",9.33475140454627,9.26517564268709,9.12756539658301,9.15813244144749,9.53785801319519,9.32060202422287,9.00877943081069,9.18500588091971,9.45714034324289
